id	minimum_pValue	call
ENSG00000006704	1.07024422988035e-06	present
ENSG00000006712	1.91791732478634e-08	present
ENSG00000006715	2.2767244356763e-06	present
ENSG00000006740	4.36481269371324e-06	present
ENSG00000006744	1.59310283719042e-06	present
ENSG00000006747	0.00127280317643305	present
ENSG00000006756	1.46352301551388e-05	present
ENSG00000006757	0.000127179614686984	present
ENSG00000006788	1	absent
ENSG00000006831	2.92598240414427e-09	present
ENSG00000006837	0.00120614571092155	present
ENSG00000007001	0.595839917562275	absent
ENSG00000007038	0.0880637929288744	absent
ENSG00000007047	2.01095998909791e-07	present
ENSG00000007062	0.0356406821132613	present
ENSG00000007080	1.10503197039602e-08	present
ENSG00000007129	0.000203927106457694	present
ENSG00000007168	9.32659857489454e-11	present
ENSG00000007171	0.0174878686422424	present
ENSG00000007174	0.00709818719048757	present
ENSG00000007202	7.30927406389946e-08	present
ENSG00000007216	0.673629546217298	absent
ENSG00000007237	1.81513507247599e-06	present
ENSG00000007255	2.07080464601029e-06	present
ENSG00000007264	1.24738123897347e-05	present
ENSG00000007306	0.771383704945112	absent
ENSG00000007312	0.000148832868233491	present
ENSG00000007314	0.398010170361168	absent
ENSG00000007341	3.14639057658724e-06	present
ENSG00000007350	0.119920099438371	absent
ENSG00000007372	0.294532890355648	absent
ENSG00000007376	0.0105496689529365	present
ENSG00000007384	1.09253662013513e-08	present
ENSG00000007392	5.28751409504256e-09	present
ENSG00000007402	6.55158300437447e-06	present
ENSG00000007516	4.03042674922856e-05	present
ENSG00000007520	7.42065743708775e-07	present
ENSG00000007541	6.31247327442282e-06	present
ENSG00000007545	0.000210691748751641	present
ENSG00000007866	6.7420300282957e-08	present
ENSG00000007908	0.00688010456846896	present
ENSG00000007923	3.71972156068047e-05	present
ENSG00000007933	2.05708984824886e-08	present
ENSG00000007944	1.01759967709615e-07	present
ENSG00000007952	0.205328889623394	absent
ENSG00000007968	0.130094792383552	absent
ENSG00000008018	8.2366867610267e-13	present
ENSG00000008056	0.000589515284385684	present
ENSG00000008083	0.000113956642174216	present
ENSG00000008086	0.000312396200700344	present
ENSG00000008118	0.111110921967751	absent
ENSG00000008128	7.76839312095255e-09	present
ENSG00000008130	1.19170273726357e-08	present
ENSG00000008196	1	absent
ENSG00000008197	1	absent
ENSG00000008226	8.80029751411757e-05	present
ENSG00000008256	8.76409471168765e-07	present
ENSG00000008277	0.0108941510031505	present
ENSG00000008282	6.64874043866598e-11	present
ENSG00000008283	9.210704740593e-08	present
ENSG00000008294	5.07440708077148e-10	present
ENSG00000008300	0.0218741983611411	present
ENSG00000008311	7.65530109302951e-06	present
ENSG00000008323	0.0153107665565149	present
ENSG00000008324	1.7722099276605e-06	present
ENSG00000008382	2.21240552556856e-05	present
ENSG00000008394	1.9836379565224e-12	present
ENSG00000008405	4.71924367823084e-07	present
ENSG00000008438	0.000773316915872922	present
ENSG00000008441	2.68795806146852e-08	present
ENSG00000008513	1.33897744440648e-07	present
ENSG00000008516	0.00127429611304212	present
ENSG00000008517	2.49327245468936e-13	present
ENSG00000008710	6.5221228913728e-08	present
ENSG00000008735	0.141229647776801	absent
ENSG00000008838	2.9159644335538e-12	present
ENSG00000008853	1.72871772598651e-07	present
ENSG00000008869	3.659046736716e-05	present
ENSG00000008952	3.84216466068243e-11	present
ENSG00000008988	3.39150187127743e-24	present
ENSG00000009307	7.82454008034758e-15	present
ENSG00000009335	6.65977973331218e-08	present
ENSG00000009413	3.99974532563537e-07	present
ENSG00000009694	0.0356589199682201	present
ENSG00000009709	1	absent
ENSG00000009724	0.00999385318073879	present
ENSG00000009765	0.139782943839592	absent
ENSG00000009780	3.40005984170357e-05	present
ENSG00000009790	1.2443218874334e-06	present
ENSG00000009830	9.54986301033106e-06	present
ENSG00000009844	7.28748677307664e-07	present
ENSG00000009950	0.0147702086254648	present
ENSG00000009954	4.7734897433379e-07	present
ENSG00000010017	7.47696872778603e-08	present
ENSG00000010030	0.000818842805635187	present
ENSG00000010072	0.00369146638363071	present
ENSG00000010165	5.45620825267924e-05	present
ENSG00000010219	3.44072277686387e-08	present
ENSG00000010244	1.11485043960037e-11	present
ENSG00000010256	1.83015862945913e-10	present
ENSG00000010270	1.56668240967174e-08	present
ENSG00000010278	6.29395176300177e-15	present
ENSG00000010282	0.120501144720723	absent
ENSG00000010292	3.99145969700721e-06	present
ENSG00000010295	1.9255871295178e-05	present
ENSG00000010310	0.00025763677255387	present
ENSG00000010318	0.000112066300689699	present
ENSG00000010319	4.74542275870809e-06	present
ENSG00000010322	4.9485973684117e-08	present
ENSG00000010327	9.00041393030944e-08	present
ENSG00000010361	2.64913382414959e-06	present
ENSG00000010379	0.100519196302393	absent
ENSG00000010404	1.05581636710041e-09	present
ENSG00000010438	1	absent
ENSG00000010539	0.00200958913979906	present
ENSG00000010610	7.27507757441226e-10	present
ENSG00000010626	1.30563519199089e-06	present
ENSG00000010671	1.23373269477174e-05	present
ENSG00000010704	0.000205949557047112	present
ENSG00000010803	1.36497499178614e-07	present
ENSG00000010810	9.38918769164804e-11	present
ENSG00000010818	8.06066735565006e-07	present
ENSG00000010932	0.0639911289427695	absent
ENSG00000011007	3.15092332283866e-07	present
ENSG00000011009	1.09721901223687e-07	present
ENSG00000011021	1.22790764910175e-05	present
ENSG00000011028	1.45071056301271e-09	present
ENSG00000011052	0.0236833725599242	present
ENSG00000011083	0.618341852561363	absent
ENSG00000011105	2.33360642971296e-08	present
ENSG00000011114	1.67631337147369e-05	present
ENSG00000011132	1.41351599155129e-05	present
ENSG00000011143	5.07126920389596e-05	present
ENSG00000011198	8.11286692491271e-08	present
ENSG00000011201	2.94318829338046e-05	present
ENSG00000011243	1.20220189757739e-08	present
ENSG00000011258	0.000424272761200656	present
ENSG00000011260	8.28341708746255e-08	present
ENSG00000011275	1.18458405104968e-05	present
ENSG00000011295	2.53846136438654e-07	present
ENSG00000011304	2.45105798101966e-11	present
ENSG00000011332	0.076451997281167	absent
ENSG00000011347	0.0294846084202675	present
ENSG00000011376	0.000342635546879751	present
ENSG00000011405	2.30085221387062e-07	present
ENSG00000011422	1.09042922967685e-10	present
ENSG00000011426	0.0134940869781108	present
ENSG00000011451	1.66349257508222e-05	present
ENSG00000011454	4.338193485749e-07	present
ENSG00000011465	7.0461677387639e-23	present
ENSG00000011478	1.69362657637102e-05	present
ENSG00000011485	3.88238674867613e-07	present
ENSG00000011523	2.54432917103366e-06	present
ENSG00000011566	4.32556873138306e-07	present
ENSG00000011590	0.147666506415423	absent
ENSG00000011600	4.43416709354247e-15	present
ENSG00000011638	3.42886578424127e-08	present
ENSG00000011677	1	absent
ENSG00000012048	0.0012978293115623	present
ENSG00000012061	1.12803079316359e-09	present
ENSG00000012124	0.00333478283700199	present
ENSG00000012171	3.02447721884289e-09	present
ENSG00000012174	0.000183055582654894	present
ENSG00000012211	1.21961565332472e-05	present
ENSG00000012223	8.4554461646184e-09	present
ENSG00000012232	4.15278031618325e-05	present
ENSG00000012504	0.46099698492476	absent
ENSG00000012660	6.07163679907475e-10	present
ENSG00000012779	2.14064854563691e-08	present
ENSG00000012817	0.0640061729834204	absent
ENSG00000012822	5.15962813091613e-11	present
ENSG00000012963	2.75162173991003e-06	present
ENSG00000012983	7.93881480438784e-08	present
ENSG00000013016	0.000263165880514496	present
ENSG00000013275	1.1414830684196e-08	present
ENSG00000013288	1.90147476062449e-06	present
ENSG00000013293	0.172280700907583	absent
ENSG00000013297	3.29378401556774e-07	present
ENSG00000013306	1.11323517003457e-10	present
ENSG00000013364	2.05618161991181e-11	present
ENSG00000013374	6.99900946079708e-10	present
ENSG00000013375	8.9615516855987e-07	present
ENSG00000013392	0.00263161134454114	present
ENSG00000013441	4.08609066492926e-14	present
ENSG00000013503	0.00197746753431422	present
ENSG00000013523	2.83897407087602e-06	present
ENSG00000013561	2.62204527994963e-07	present
ENSG00000013563	8.08107601882475e-07	present
ENSG00000013573	6.50239729803491e-06	present
ENSG00000013583	1.83893195502701e-10	present
ENSG00000013588	5.27908062673752e-12	present
ENSG00000013619	7.79980308074531e-05	present
ENSG00000013725	2.0207367135412e-05	present
ENSG00000013810	5.27325746476269e-05	present
ENSG00000014123	8.39327320520293e-06	present
ENSG00000014138	4.18372612036119e-05	present
ENSG00000014164	0.000116396136906706	present
ENSG00000014216	5.74416231240457e-09	present
ENSG00000014257	0.00363927563393844	present
ENSG00000014641	1.50549506009954e-10	present
ENSG00000014824	3.90891271156285e-07	present
ENSG00000014914	6.81802640006027e-07	present
ENSG00000014919	1.11092032370382e-05	present
ENSG00000015133	5.99772526239256e-07	present
ENSG00000015153	3.71610689846089e-07	present
ENSG00000015171	8.33396245188382e-09	present
ENSG00000015285	1.83050690842336e-06	present
ENSG00000015413	0.0550734655104197	absent
ENSG00000015475	5.36588299998073e-07	present
ENSG00000015479	6.19766723814099e-12	present
ENSG00000015520	0.478487403639186	absent
ENSG00000015532	6.3218531433185e-05	present
ENSG00000015568	1.38741026134553e-05	present
ENSG00000015592	0.447471102308821	absent
