species_id	run_ids	output_directory	weights
7227	SRX109279	./data/SRX109279	4540130
7227	SRX109278	./data/SRX109278	5554581
7227	ERX2162341	./data/ERX2162341	9149788
7227	ERX2162340	./data/ERX2162340	10169431
7227	SRX1720958	./data/SRX1720958	16709304
7227	SRX1720957	./data/SRX1720957	15036903
7227	ERX2162339	./data/ERX2162339	6195848
